customer_id,Age,Income,Credit Score,Loan Amount,Tenure,Interest Rate,Existing EMI,Dependents,Experience_years,City,Job Type,Education Level,Marital Status,Loan Purpose,Credit Card Owner,Vehicle Owner,Default Flag,Default Status,Income_Clean,Credit Score_Clean,City_Clean,Job type _Clean,Education level_Clean,Risk Level,Income Segment,Loan Size Category
102308,30,10526.2,395,207835.51,60,14.21,3,4,30,Mumbai,Freelancer,Diploma,Divorced,Car,Yes,No,1,Yes,10526.2,395,Mumbai,Freelancer,Diploma,High Risk,high,Large
122404,42,31730.09,809,262774.28,36,12.72,1,3,10,Bangalore,Business,Masters,Single,Education,Yes,Yes,0,No,31730.09,809,Bangalore,Business,Masters,Very Low Risk,high,Large
123397,33,71721.57,719,104643.47,6,26.53,1,1,18,Kolkata,Unemployed,Diploma,Single,Personal,No,Yes,1,Yes,71721.57,719,Kolkata,Unemployed,Diploma,High Risk,high,Large
125058,47,83948.82,839,126327.11,18,24.13,1,0,9,Chennai,Student,PhD,Single,Personal,No,No,1,Yes,83948.82,839,Chennai,Student,PhD,High Risk,high,Large
102664,57,36495.26,820,5000,12,17.69,1,2,6,Bangalore,Unemployed,Diploma,Divorced,Home,No,No,0,No,36495.26,820,Bangalore,Unemployed,Diploma,Very Low Risk,high,Small
108511,59,16594.59,760,259121.34,18,16.46,1,0,23,Jaipur,Freelancer,HighSchool,Divorced,Home,No,No,1,Yes,16594.59,760,Jaipur,Freelancer,HighSchool,High Risk,high,Large
105148,63,49692.43,534,187170.78,24,7.42,3,5,13,Bangalore,Student,PhD,Divorced,Personal,Yes,No,1,Yes,49692.43,534,Bangalore,Student,PhD,High Risk,high,Large
107790,34,33712.56,461,98082.15,36,23.71,1,4,33,Mumbai,Student,Bachelors,Divorced,Business,Yes,No,1,Yes,33712.56,461,Mumbai,Student,Bachelors,High Risk,high,Large
111311,23,24881.09,497,151934.27,36,25.88,0,2,31,Kolkata,Student,Bachelors,Single,Education,No,No,1,Yes,24881.09,497,Kolkata,Student,Bachelors,High Risk,high,Large
119043,38,31975.83,501,293804.56,18,9.92,2,4,6,Mumbai,Student,PhD,Divorced,Business,No,Yes,1,Yes,31975.83,501,Mumbai,Student,PhD,High Risk,high,Large
110784,34,49908.68,561,5000,24,11.78,3,3,33,Bangalore,Unemployed,Bachelors,Divorced,Education,No,No,1,Yes,49908.68,561,Bangalore,Unemployed,Bachelors,High Risk,high,Small
122246,20,61427.73,406,270340.91,36,20.37,0,0,25,Mumbai,Salaried,HighSchool,Divorced,Home,No,Yes,1,Yes,61427.73,406,Mumbai,Salaried,HighSchool,High Risk,high,Large
103268,58,53384.89,484,293288.13,18,19.1,2,2,25,Delhi,Unemployed,Bachelors,Single,Home,No,No,1,Yes,53384.89,484,Delhi,Unemployed,Bachelors,High Risk,high,Large
115947,19,33650.52,379,60156.57,36,16.96,0,5,11,Bangalore,Student,PhD,Married,Education,Yes,No,1,Yes,33650.52,379,Bangalore,Student,PhD,High Risk,high,Medium
114977,62,47715.75,700,539798.08,36,23.6,2,1,10,Chennai,Salaried,Diploma,Divorced,Travel,Yes,No,1,Yes,47715.75,700,Chennai,Salaried,Diploma,High Risk,high,Large
114474,57,29987.49,502,23858.31,60,9.49,1,5,14,Kolkata,Unemployed,Bachelors,Divorced,Personal,Yes,No,1,Yes,29987.49,502,Kolkata,Unemployed,Bachelors,High Risk,high,Small
128694,37,47924.32,873,279498.07,36,21.19,5,3,0,Pune,Student,Masters,Divorced,Medical,Yes,Yes,1,Yes,47924.32,873,Pune,Student,Masters,High Risk,high,Large
114054,56,51581.08,821,5000,12,10.86,1,1,3,Delhi,Student,Diploma,Married,Medical,No,No,1,Yes,51581.08,821,Delhi,Student,Diploma,High Risk,high,Small
126545,35,73308.02,878,259734.78,36,17.34,1,5,9,Chennai,Salaried,Masters,Single,Personal,Yes,Yes,1,Yes,73308.02,878,Chennai,Salaried,Masters,High Risk,high,Large
114980,35,42778.92,314,459712.71,18,27.78,1,1,30,Jaipur,Business,PhD,Married,Education,Yes,No,1,Yes,42778.92,314,Jaipur,Business,PhD,High Risk,high,Large
117636,32,74310.53,741,208355.76,24,11.61,1,4,21,Delhi,Unemployed,PhD,Married,Travel,Yes,Yes,0,No,74310.53,741,Delhi,Unemployed,PhD,Very Low Risk,high,Large
103931,41,53328.74,727,350150.93,48,13.13,3,4,14,Kolkata,Freelancer,PhD,Divorced,Education,Yes,Yes,1,Yes,53328.74,727,Kolkata,Freelancer,PhD,High Risk,high,Large
108387,56,44369.29,333,114690.9,24,17.42,1,3,16,Mumbai,Business,PhD,Single,Business,Yes,Yes,1,Yes,44369.29,333,Mumbai,Business,PhD,High Risk,high,Large
108028,62,51319.3,867,133029.01,18,20.9,1,2,12,Jaipur,Salaried,Diploma,Single,Education,Yes,Yes,0,No,51319.3,867,Jaipur,Salaried,Diploma,Very Low Risk,high,Large
109482,42,29665.26,649,176904.65,48,14.48,1,1,31,Chennai,Salaried,HighSchool,Divorced,Personal,No,No,1,Yes,29665.26,649,Chennai,Salaried,HighSchool,High Risk,high,Large
122572,24,61271.86,554,354223.41,6,9.67,1,4,34,Mumbai,Salaried,Masters,Married,Personal,Yes,No,1,Yes,61271.86,554,Mumbai,Salaried,Masters,High Risk,high,Large
115107,40,62982.96,884,186269.58,18,13.18,3,4,29,Hyderabad,Unemployed,Bachelors,Married,Travel,Yes,Yes,1,Yes,62982.96,884,Hyderabad,Unemployed,Bachelors,High Risk,high,Large
103673,39,43060.67,561,67344.6,36,26.99,0,3,18,Mumbai,Salaried,Diploma,Single,Travel,Yes,Yes,1,Yes,43060.67,561,Mumbai,Salaried,Diploma,High Risk,high,Medium
121388,50,59979.11,593,251111.45,36,24.71,1,5,23,Hyderabad,Business,,Single,Home,No,Yes,0,No,59979.11,593,Hyderabad,Business,unknown,Medium Risk,high,Large
105937,49,47814.07,624,203823.94,48,21.81,1,4,8,Chennai,Student,,Divorced,Car,No,Yes,1,Yes,47814.07,624,Chennai,Student,unknown,High Risk,high,Large
127033,23,64863.45,836,426426.65,24,12.63,3,1,15,Jaipur,Salaried,Bachelors,Married,Education,Yes,No,1,Yes,64863.45,836,Jaipur,Salaried,Bachelors,High Risk,high,Large
129271,56,36848.22,503,434741.95,48,10.22,4,1,25,Chennai,Salaried,PhD,Divorced,Car,Yes,No,1,Yes,36848.22,503,Chennai,Salaried,PhD,High Risk,high,Large
121880,45,87664.62,599,250937.54,12,20.52,2,4,19,Delhi,Student,PhD,Divorced,Business,No,Yes,1,Yes,87664.62,599,Delhi,Student,PhD,High Risk,high,Large
106508,30,46617.99,831,406251.59,18,15.2,0,2,31,Chennai,Unemployed,Masters,Divorced,Personal,No,Yes,1,Yes,46617.99,831,Chennai,Unemployed,Masters,High Risk,high,Large
121457,35,65610.32,578,260896.13,6,26.02,1,4,17,Kolkata,Freelancer,PhD,Married,Business,Yes,No,1,Yes,65610.32,578,Kolkata,Freelancer,PhD,High Risk,high,Large
120071,26,40969.69,416,5000,36,11.45,0,3,26,Jaipur,Student,PhD,Single,Home,No,No,0,No,40969.69,416,Jaipur,Student,PhD,Medium Risk,high,Small
127012,46,30614.32,367,126018.48,24,23.04,0,0,26,Jaipur,Business,Masters,Married,Medical,Yes,Yes,1,Yes,30614.32,367,Jaipur,Business,Masters,High Risk,high,Large
110092,28,48652.25,322,211211.77,6,16.57,2,1,7,Chennai,,PhD,Divorced,Education,Yes,No,1,Yes,48652.25,322,Chennai,unknown,PhD,High Risk,high,Large
122567,43,67672.73,767,142230.09,60,13.71,1,2,13,Jaipur,Salaried,PhD,Single,Travel,Yes,Yes,1,Yes,67672.73,767,Jaipur,Salaried,PhD,High Risk,high,Large
112976,63,50265.96,478,43994.97,36,25.62,0,3,37,Bangalore,Student,,Divorced,Education,Yes,No,1,Yes,50265.96,478,Bangalore,Student,unknown,High Risk,high,Medium
103813,25,78665.26,352,418528.22,48,14.11,0,0,11,Mumbai,Student,Diploma,Single,Personal,Yes,No,1,Yes,78665.26,352,Mumbai,Student,Diploma,High Risk,high,Large
107337,20,75623.04,355,125976.02,36,26.3,1,4,24,Jaipur,Business,Diploma,Married,Personal,No,No,1,Yes,75623.04,355,Jaipur,Business,Diploma,High Risk,high,Large
124483,21,67607.15,899,5000,24,16.75,2,2,5,Chennai,,HighSchool,Married,Travel,Yes,Yes,1,Yes,67607.15,899,Chennai,unknown,HighSchool,High Risk,high,Small
119592,27,25849.31,406,52940.5,6,26.76,0,4,10,Pune,Salaried,Diploma,Divorced,Education,Yes,Yes,1,Yes,25849.31,406,Pune,Salaried,Diploma,High Risk,high,Medium
105121,59,95520.72,467,242943.09,24,27.72,0,0,30,Chennai,Salaried,Diploma,Single,Personal,Yes,Yes,1,Yes,95520.72,467,Chennai,Salaried,Diploma,High Risk,high,Large
